Economical;Political;Religious;War;Refugees;Health;Infrastructure;Crime;Famine;Transportation;Area
4;2;2;3;1;4;1;1;1;2;North America
5;2;2;1;5;3;1;2;1;3;Western Europe
5;5;3;5;5;5;4;5;5;5;Middle East and North Africa
4;4;1;5;4;5;1;3;1;4;Western Europe
4;5;2;4;3;4;1;1;1;3;North America
4;4;1;1;2;5;1;1;1;3;North America
4;3;1;1;4;3;2;1;1;2;Western Europe
4;4;1;1;2;5;3;1;1;1;North America
4;5;1;4;5;5;1;2;1;3;North America
5;5;2;3;4;4;1;2;1;2;North America
5;4;1;4;3;5;1;2;2;2;North America
5;2;1;2;2;5;1;1;2;1;North America
3;4;2;5;5;3;1;2;1;2;Eastern Europe
5;5;3;5;5;3;2;3;2;3;Eastern Europe
4;4;2;1;5;4;1;3;1;2;Western Europe
2;1;1;2;1;5;3;1;1;1;North America
4;3;1;1;5;3;1;1;1;2;Western Europe
5;5;1;5;5;4;1;2;1;1;North America
5;3;1;5;5;2;4;2;1;4;Middle East and North Africa
5;2;1;2;2;5;1;2;1;1;North America
5;3;1;4;4;5;1;1;1;3;North America
5;3;1;3;5;5;3;3;2;4;Western Europe
4;4;1;2;2;5;1;3;1;2;North America
4;2;1;1;2;2;1;2;1;1;Oceania
4;3;1;1;5;5;1;2;1;1;Western Europe
3;5;1;2;2;5;2;1;1;2;North America
5;4;1;1;2;5;2;2;2;5;North America
4;3;1;4;5;2;1;2;1;2;Western Europe
3;3;1;5;2;4;1;1;1;3;Middle East and North Africa
2;2;1;2;1;5;1;1;1;1;North America
3;1;2;2;5;3;2;1;1;1;Western Europe
4;4;2;3;5;5;4;4;2;3;Eastern Europe
4;5;4;2;3;5;3;3;3;3;North America
5;4;2;1;1;2;4;1;2;4;South East Asia
2;4;1;3;2;5;1;1;1;4;North America
5;4;1;1;5;4;1;1;1;1;Western Europe
4;1;1;1;5;2;1;2;1;1;Western Europe
5;5;2;4;5;4;2;5;2;4;Eastern Europe
4;1;2;2;3;5;4;2;1;1;North America
4;4;1;5;5;4;1;3;1;3;Eastern Europe
3;4;1;3;2;5;3;1;1;4;North America
5;5;2;1;5;4;1;1;1;1;Eastern Europe
4;4;1;3;1;5;1;1;1;4;North America
4;4;2;2;5;4;1;2;1;3;Western Europe
5;5;2;2;5;5;2;4;3;4;North America
4;3;2;2;2;5;1;3;1;1;North America
4;5;1;3;4;4;1;1;1;1;North America
5;4;1;5;5;4;1;3;1;1;Western Europe
5;5;1;1;5;2;2;1;1;2;Western Europe
5;5;5;4;5;4;2;5;2;4;Central and South Africa
5;2;1;1;1;3;3;3;2;3;Oceania
3;4;1;3;5;5;1;2;2;2;Western Europe
4;4;2;2;1;5;1;4;1;3;North America
5;1;1;1;2;5;2;2;1;1;North America
4;4;2;2;2;5;1;2;1;2;North America
3;3;3;2;3;5;1;2;1;2;North America
4;4;1;1;5;4;1;1;1;1;Western Europe
2;2;1;1;5;2;1;1;1;1;Western Europe
5;4;2;4;5;4;1;3;1;2;Eastern Europe
4;2;2;2;2;5;1;2;1;3;North America
4;4;1;1;5;4;3;2;1;3;Western Europe
3;3;1;1;4;4;1;1;1;2;Western Europe
3;2;1;1;5;2;1;1;1;1;Western Europe
3;5;1;2;3;2;4;3;3;4;Central Asia
5;4;4;3;5;4;2;3;1;1;Western Europe
4;5;2;3;1;4;2;3;1;1;North America
5;4;1;2;5;2;2;1;1;4;Western Europe
2;2;1;1;1;1;1;1;1;1;Oceania
1;1;1;1;4;1;1;2;1;2;Western Europe
4;5;1;1;3;5;2;1;1;4;North America
3;5;1;4;1;4;1;2;1;3;North America
4;4;1;1;5;4;1;2;1;2;Western Europe
4;2;2;1;2;5;1;2;1;3;North America
5;4;1;1;2;4;1;2;1;2;North America
2;5;2;4;5;2;1;2;1;1;Eastern Europe
5;4;1;2;4;4;1;1;1;3;Oceania
4;4;2;2;5;3;1;3;2;1;Eastern Europe
5;3;3;4;5;3;2;2;1;1;Oceania
4;2;1;3;5;5;1;4;2;2;Western Europe
5;4;4;3;4;3;2;4;1;2;Middle East and North Africa
4;5;1;4;3;4;4;2;2;3;North America
2;2;1;1;5;2;3;3;1;3;Western Europe
2;3;4;1;5;4;3;3;2;4;East Asia
4;2;3;3;2;4;5;4;1;5;Central and South Africa
2;1;1;1;5;1;1;1;1;1;Western Europe
5;5;1;2;3;5;3;3;2;2;North America
5;4;1;1;4;5;3;2;1;1;North America
5;5;4;2;5;1;2;5;4;5;Eastern Europe
4;2;1;2;4;2;1;1;1;1;Oceania
4;3;1;1;1;5;1;1;1;1;North America
3;5;5;4;5;3;4;5;5;5;Central Asia
5;4;2;4;5;4;2;3;2;4;Eastern Europe
4;5;1;3;1;5;2;2;2;3;North America
3;5;3;4;3;4;4;4;4;4;Central Asia
5;5;5;5;5;5;5;5;5;5;Latin America
5;4;1;3;2;5;2;3;1;3;North America
5;4;2;3;5;5;2;2;1;4;Eastern Europe
3;4;2;1;3;5;2;2;1;1;North America
5;5;2;2;5;5;3;1;1;3;Western Europe
4;3;2;2;2;5;1;2;1;2;North America
4;3;3;1;2;4;1;1;1;3;North America
4;5;4;3;2;4;2;3;2;3;North America
2;2;1;3;5;1;1;1;1;1;Western Europe
4;5;5;1;4;3;1;1;1;2;Eastern Europe
4;5;1;1;2;5;1;1;1;1;North America
4;3;1;2;3;4;3;4;1;5;Central and South Africa
3;2;1;1;5;3;1;2;1;1;Western Europe
5;3;4;3;5;3;3;4;1;1;Oceania
1;4;1;3;1;3;3;3;3;3;Central Asia
3;4;1;1;3;3;1;1;1;2;Central Asia
5;5;5;5;5;5;5;5;5;5;Latin America
1;4;2;1;1;2;1;2;1;3;East Asia
5;4;1;3;2;5;1;2;1;3;North America
4;5;2;1;2;5;1;1;1;2;North America
4;4;2;3;3;5;4;4;3;5;North America
3;4;3;4;5;3;1;2;3;3;Eastern Europe
4;5;1;1;1;5;1;3;1;2;North America
3;5;2;5;5;5;3;3;1;4;North America
4;5;2;5;2;5;1;1;1;3;North America
2;2;2;1;2;5;4;2;1;1;Oceania
3;2;1;2;1;5;1;2;1;2;North America
